"","V1"
" jeunesverts.org/bordeaux",1
" bix.enix.org/",6
" www.arnaudcaron.net/",4
" dominiquevoynet.net/blog",7
" blogs.lesverts.fr/",4
" emilien.net/",11
" lipietz.net/blog.php3?id_breve=63",6
" www.libanvision.com/villepin.htm",6
" www.villepin-2007.net/",10
" umpdauphine.hautetfort.com/",5
" www.blogmilitant.com/map.php",9
" delvolve.typepad.com/",12
" www.alain-lambert-blog.org/",1
" jeunespop75008.hautetfort.com/",10
" bohbot.typepad.com/mon_weblog/",12
" ericraoult.over-blog.com/",1
" www.u-m-p.org",10
" claudegoasguen.typepad.com/claude_goasguen/",9
" www.andre-santini.net",7
" elodiesaucier.hautetfort.com",10
" darmondavid-andre.hautetfort.com",8
" www.blogdevedjian.com/",6
" villepin.over-blog.com/",10
" www.carnetjpr.com/",7
" 2villepin.free.fr/",7
" solere.blogs.com/",10
" blogjeunespopparis7.hautetfort.com/",8
" www.jeunesump61.com/",6
" pierredeniziot.hautetfort.com/",8
" www.de-villepin.org/",6
" colombespourvillepin.over-blog.com/",3
" devillepin-renouveaugaulliste.over-blog.com/",5
" jeunespopulaires16.hautetfort.com/",6
" umpboulogne.blogs.com/",1
" jeunespop11.hautetfort.com/",11
" rdecorte.typepad.com/",8
" galouzeau.hautetfort.com/",4
" blog.villepin.free.fr/",11
" pierrelellouche.blogs.com/",5
" laplumeetlepee.canalblog.com/",3
" dominiquedevillepin.over-blog.com/",3
" www.jeunespopulaires94.org/paris12/",3
" fabricemorenon.typepad.com/",9
" sarko2007.free.fr/",4
" blog.cybermilitant.com/",3
" www.al1jup.com/",3
" yvesjego.typepad.com/",5
" denisvinckier.hautetfort.com/",6
" carnetsdeleclusier.hautetfort.com/",12
" www.valerieletard.org/",3
" jeunes.udf.org/",8
" leblogdedavidbourgeois.hautetfort.com/",12
" www.christelledecremiers.com/",5
" www.jean-lassalle.fr/",7
" www.yvesclement.org/",4
" www.udf-europe.net",7
" yvescoupe.hautetfort.com/",6
" jcharre.typepad.com",12
" www.jerome-charre.fr/",12
" blogs.leparisien.com/bcordin/",2
" mavitresurlemonde.hautetfort.com/",6
" udfpartilibrevoiedelespoirhr80.hautetfort.com/",6
" www.olivierhenno.net/",6
" democratiesansfrontiere.org/",12
" chantalcutajar.blogspirit.com/",11
" danielpouppeville.hautetfort.com/",4
" xavierlefevreverlinghem.hautetfort.com/",4
" www.udf-istres.eu/",10
" www.capidees.net/blog/index.php/",3
" alainduchesne.hautetfort.com/",11
" www.santini-andre.com/",5
" www.taha.fr/blog",10
" assurementbayrou.hautetfort.com/",4
" francoisvandeville.hautetfort.com/",12
" ericmielke.hautetfort.com/",7
" louis-jaleman.hautetfort.com/",11
" lesjeuneslibres.hautetfort.com/",6
" politikos.hautetfort.com/",10
" www.rudy-salles.com/blog/",11
" sebpietrasanta.skyblog.com/",5
" www.wmaker.net/editoweb/ps_istres/",9
" mag.jacklang.net/",2
" www.desirsdavenir.org//",7
" dsk2007.blogspirit.com/",1
" socialismedemocratielaicite.blogs.com/",9
" www.benoitmarquaille.net/",1
" sd14.hautetfort.com/",1
" sylvainelies.typepad.com/",10
" www.philippekaltenbach.com/",2
" www.josephdion.com/",4
" www.2007lagauche.fr/",5
" www.avecdsk.net",5
" www.dsk2007.net",6
" www.socialisme-et-democratie.net",6
" alarochelleavecdsk.blogspirit.com",6
" www.parti-socialiste.fr",8
" www.ps92.fr/",12
" gauche2007.over-blog.com",12
" hebdo.parti-socialiste.fr",3
" desirsdavenir92.over-blog.com",3
" puteaux.typepad.com",12
" projet.parti-socialiste.fr",12
" www.jm-bockel.com/Le-Blog/Le-Blog.html",10
" philippelacroix.canalblog.com/",11
" barruga.blogspot.com/",10
" www.sdj69.com/",4
" gilbert-roger.typepad.com/gilbert_roger/",6
" annuaire.parti-socialiste.fr/",12
" www.monputeaux.com/",1
" www.aklipolitique.com",1
" www.mon92.com/",12
" www.sevres92310.net/",4
" www.marielauremeyer.com/",12
" www.ps92.net/",8
" www.catherinepicard.net/",7
" dsk29.blogspirit.com/",12
" lefil.blogs.com/benoithamon/",11
" remibazillier.blogspot.com/",5
" pek.blogs.com/",12
" mldavoine.typepad.com/",10
" renover.maintenant-21.over-blog.com/",11
" valeriomotta.canalblog.com/",2
" www.urvoas.org/",11
" www.gouriet.com/",3
" www.nadinejeanne.com/",12
" www.guyjanvier.com/",6
" www.philippesarre.com/",10
" vincent-jarousseau.blogspot.com/",12
" www.democratie-socialisme.org/index.php3",10
" fabius.typepad.com/",5
" www.temps-reels.net/blogs/paris/",10
" www.ps92.com/",8
" www.marie-noelle-lienemann.fr/blog_marie_noelle_lienemann",11
" www.monneuilly.com/",7
" lioneljospin.parti-socialiste.fr/",2
" etmaintenant.over-blog.com/",1
" www.radicale-attitude.net/",3
" www.eddieait.com//",6
" prg-le-havre.over-blog.org/",6
" www.planeteradicale.org",1
" blog.riposte-radicale.org/",7
" vincentgarelinfosetdebats.over-blog.com//",10
" jeanlevain.typepad.com/",6
" cergy-2008.blogspot.com/",8
" ericmontes.over-blog.net/",9
" taubira2007.over-blog.net/",5
" meklat.prg07.org/",6
" paris.jeunes-communistes.org/home.php",6
" www.pcf.fr",2
" www.editoweb.eu/pcf_salondeprovence/",3
" libresechanges.humanite.fr/",2
" www.mgbuffet.org/",6
" www.patrice-leclerc.org/",6
" mnr42.over-blog.com/",4
" www.pageliberale.org/",10
" reseaulib.org/",8
" hayek.skyblog.com/",6
" www.liberte-cherie.com",7
" www.liberaux.org",4
" chroniquespatagones.blogspirit.com",6
" quitter_la_secu.blogspot.com/",3
" patrick-madrolle.laissez-faire.eu/",4
" www.copeau.org/",3
" chacun-pour-soi.blogspot.com/",3
" www.lcr-rouge.org",7
" pascalerre.hautetfort.com/",3
" fnvar.hautetfort.com/",6
" editherre.hautetfort.com/",2
" hugues.blogs.com",12
" sarkostique.over-blog.com",12
" www.placedelademocratie.net",6
" www.page2007.com/",12
" blog.netpolitique.net/",1
" www.election-presidentielle.fr/",11
" www.debat2007.fr/",11
" www.politique20.info",4
" ceteris-paribus.blogspot.com/",6
" vanb.typepad.com/versac/",12
" presidentielle.2007.free.fr/",8
" www.cap21.net",5
" corinnelepage.hautetfort.com/",6
" etudiants.alternative-liberale.over-blog.com/",5
" alternativeliberale91.blogspot.com/",5
" alternativeliberale20e.over-blog.com/",4
" www.alternative-liberale.fr/blogs/",8
" alternative38.fr/",7
" aurel.hautetfort.com/",1
" alternative-liberale-15e.blogspot.com/",4
" al-jura.hautetfort.com/",3
" blog.liberteavenir.fr/",3
" blog.edouard-fillias.fr/",2
" salina.hautetfort.com/",3
" alternativeliberale12e.over-blog.org/",5
" alternativeliberale18e.over-blog.org/",5
" caccomo.blogspot.com/",4
" alternative-liberale-lorraine.blogspot.com/",1
